raw_row_number,legacy_tempid,proposed_canonical_title,raw_title,proposed_series,proposed_item_type,proposed_year,proposed_month,proposed_format,proposed_format_detail,proposed_owned,proposed_source_url_veritas,raw_product_link,link_review_status,approval,review_notes
196,LS200902_3,Happiness,Happiness (Apr 2009) DVD03,In the World but Not of It,lecture,2009,02,DVD,DVD03,true,https://veritaspub.com/product/2009-04-happiness-april-2009/,https://veritaspub.com/product/2009-04-happiness-april-2009/,proposed_valid,,
197,LS200903_1,Peace,Peace (Aug 2009) DVD01,In the World but Not of It,lecture,2009,03,DVD,DVD01,true,https://veritaspub.com/product/2009-08-peace-august-2009/,https://veritaspub.com/product/2009-08-peace-august-2009/,proposed_valid,,
198,LS200903_2,Peace,Peace (Aug 2009) DVD02,In the World but Not of It,lecture,2009,03,DVD,DVD02,true,https://veritaspub.com/product/2009-08-peace-august-2009/,https://veritaspub.com/product/2009-08-peace-august-2009/,proposed_valid,,
199,LS200903_3,Peace,Peace (Aug 2009) DVD03,In the World but Not of It,lecture,2009,03,DVD,DVD03,true,https://veritaspub.com/product/2009-08-peace-august-2009/,https://veritaspub.com/product/2009-08-peace-august-2009/,proposed_valid,,
200,LS200904_1,Success,Success (Oct 2009) DVD01,In the World but Not of It,lecture,2009,04,DVD,DVD01,true,https://veritaspub.com/product/2009-10-success-october-2009/,https://veritaspub.com/product/2009-10-success-october-2009/,proposed_valid,,
201,LS200904_2,Success,Success (Oct 2009) DVD02,In the World but Not of It,lecture,2009,04,DVD,DVD02,true,https://veritaspub.com/product/2009-10-success-october-2009/,https://veritaspub.com/product/2009-10-success-october-2009/,proposed_valid,,
202,LS200904_3,Success,Success (Oct 2009) DVD03,In the World but Not of It,lecture,2009,04,DVD,DVD03,true,https://veritaspub.com/product/2009-10-success-october-2009/,https://veritaspub.com/product/2009-10-success-october-2009/,proposed_valid,,
204,LS201001_1,Handling Spiritual Challenges,Handling Spiritual Challenges (Apr 2010) DVD01,Practical Spirituality,lecture,2010,01,DVD,DVD01,true,https://veritaspub.com/product/2010-04-handling-spiritual-challenges-april-2010/,https://veritaspub.com/product/2010-04-handling-spiritual-challenges-april-2010/,proposed_valid,,
205,LS201001_2,Handling Spiritual Challenges,Handling Spiritual Challenges (Apr 2010) DVD02,Practical Spirituality,lecture,2010,01,DVD,DVD02,true,https://veritaspub.com/product/2010-04-handling-spiritual-challenges-april-2010/,https://veritaspub.com/product/2010-04-handling-spiritual-challenges-april-2010/,proposed_valid,,
206,LS201001_3,Handling Spiritual Challenges,Handling Spiritual Challenges (Apr 2010) DVD03,Practical Spirituality,lecture,2010,01,DVD,DVD03,true,https://veritaspub.com/product/2010-04-handling-spiritual-challenges-april-2010/,https://veritaspub.com/product/2010-04-handling-spiritual-challenges-april-2010/,proposed_valid,,
207,LS201002_1,Spiritual Life In Today's World,Spiritual Life In Today's World (Oct 2010) DVD01,Practical Spirituality,lecture,2010,02,DVD,DVD01,true,https://veritaspub.com/product/2010-10-spiritual-life-in-todays-world-oct-2010/,https://veritaspub.com/product/2010-10-spiritual-life-in-todays-world-oct-2010/,proposed_valid,,
208,LS201002_2,Spiritual Life In Today's World,Spiritual Life In Today's World (Oct 2010) DVD02,Practical Spirituality,lecture,2010,02,DVD,DVD02,true,https://veritaspub.com/product/2010-10-spiritual-life-in-todays-world-oct-2010/,https://veritaspub.com/product/2010-10-spiritual-life-in-todays-world-oct-2010/,proposed_valid,,
209,LS201002_3,Spiritual Life In Today's World,Spiritual Life In Today's World (Oct 2010) DVD03,Practical Spirituality,lecture,2010,02,DVD,DVD03,true,https://veritaspub.com/product/2010-10-spiritual-life-in-todays-world-oct-2010/,https://veritaspub.com/product/2010-10-spiritual-life-in-todays-world-oct-2010/,proposed_valid,,
211,LS201101_1,Most Valuable Qualities for a Spiritual Seeker,Most Valuable Qualities for a Spiritual Seeker (May 2011) DVD01,Love & Spiritual Seeker Qualities,lecture,2011,01,DVD,DVD01,true,https://veritaspub.com/product/2011-05-most-valuable-qualities-for-a-spiritual-seeker-may-2011/,https://veritaspub.com/product/2011-05-most-valuable-qualities-for-a-spiritual-seeker-may-2011/,proposed_valid,,
212,LS201101_2,Most Valuable Qualities for a Spiritual Seeker,Most Valuable Qualities for a Spiritual Seeker (May 2011) DVD02,Love & Spiritual Seeker Qualities,lecture,2011,01,DVD,DVD02,true,https://veritaspub.com/product/2011-05-most-valuable-qualities-for-a-spiritual-seeker-may-2011/,https://veritaspub.com/product/2011-05-most-valuable-qualities-for-a-spiritual-seeker-may-2011/,proposed_valid,,
213,LS201101_3,Most Valuable Qualities for a Spiritual Seeker,Most Valuable Qualities for a Spiritual Seeker (May 2011) DVD03,Love & Spiritual Seeker Qualities,lecture,2011,01,DVD,DVD03,true,https://veritaspub.com/product/2011-05-most-valuable-qualities-for-a-spiritual-seeker-may-2011/,https://veritaspub.com/product/2011-05-most-valuable-qualities-for-a-spiritual-seeker-may-2011/,proposed_valid,,
214,LS201102_1,Love,Love (Sep 2011) DVD01,Love & Spiritual Seeker Qualities,lecture,2011,02,DVD,DVD01,true,https://veritaspub.com/product/2011-09-love-sept-2011/,https://veritaspub.com/product/2011-09-love-sept-2011/,proposed_valid,,
215,LS201102_2,Love,Love (Sep 2011) DVD02,Love & Spiritual Seeker Qualities,lecture,2011,02,DVD,DVD02,true,https://veritaspub.com/product/2011-09-love-sept-2011/,https://veritaspub.com/product/2011-09-love-sept-2011/,proposed_valid,,
216,LS201102_3,Love,Love (Sep 2011) DVD03,Love & Spiritual Seeker Qualities,lecture,2011,02,DVD,DVD03,true,https://veritaspub.com/product/2011-09-love-sept-2011/,https://veritaspub.com/product/2011-09-love-sept-2011/,proposed_valid,,
